#,Company,Email,Person,Title,Region,Notes
,Nirma Ltd,customerservice@nirma.co.in,Customer Service,Customer Service,Gandhinagar/Ahmedabad,Ahmedabad; VERIFIED printed on nirma.co.in (mailto); MX OK
,Nirma Ltd,industrial-sales@nirma.co.in,Industrial Sales,Sales,Gandhinagar/Ahmedabad,Ahmedabad; VERIFIED printed on nirma.co.in (mailto); MX OK
,Nirma Ltd,centralmm@nirma.co.in,Central Materials Management,Procurement,Gandhinagar/Ahmedabad,Ahmedabad; VERIFIED printed on nirma.co.in (mailto); MX OK
,Ratnamani Metals & Tubes,info@ratnamani.com,Corporate Office,General,Gandhinagar/Ahmedabad,Ahmedabad Gujarat; VERIFIED printed on ratnamani.com/contact-us (mailto); MX OK
,Jash Engineering,recruitment@jashindia.com,Recruitment Team,Recruitment,Other,VERIFIED printed on jashindia.com/contact-us (mailto); MX OK
,Jash Engineering,info@jashindia.com,Corporate Office,General,Other,VERIFIED printed on jashindia.com/contact-us (mailto); MX OK
,Jash Engineering,east@jashindia.com,East Region,Regional Sales,Other,VERIFIED printed on jashindia.com/contact-us (mailto); MX OK
,Jash Engineering,north@jashindia.com,North Region,Regional Sales,Other,VERIFIED printed on jashindia.com/contact-us (mailto); MX OK
,Apollo Tyres,apollodirect@apollotyres.com,Apollo Direct,Customer Care,Other,VERIFIED printed on apollotyres.com/contact-us (mailto); MX OK
,Apollo Tyres,grievance@apollotyres.com,Grievance Desk,Grievance,Other,VERIFIED printed on apollotyres.com/contact-us (mailto); MX OK
,Rajratan Global Wire,rajratan@rajratan.co.in,Corporate Office,General,Other,Indore India; VERIFIED printed on rajratan.co.in/contact-us (mailto); MX OK
,Rajratan Global Wire,marketing@rajratan.co.in,Swetambari Tripathy,Marketing,Other,VERIFIED printed on rajratan.co.in/contact-us (mailto); MX OK
,Rajratan Global Wire,larry@rajratan.co.in,Lawrence Schiffler,Sales & Marketing,Other,VERIFIED printed on rajratan.co.in/contact-us (mailto); MX OK
,Rajratan Global Wire,nitesh@rajratan.co.in,Nitesh Patil,Sales & Marketing,Other,VERIFIED printed on rajratan.co.in/contact-us (mailto); MX OK
,Rajratan Global Wire,sunil.u@rajratan.co.in,Sunil Upadhyay,Purchase,Other,VERIFIED printed on rajratan.co.in/contact-us (mailto); MX OK
