#,Company,Email,Person,Title,Region,Notes
,CSM Technologies,maharashtra@csm.tech,Maharashtra Office,Regional Office,Other,Maharashtra India; VERIFIED printed on csm.tech/contact-us (mailto); MX OK
,Webandcrafts,info@webandcrafts.com,Corporate Office,General,Other,Thrissur Kerala; VERIFIED printed on webandcrafts.com/contact-us (mailto); MX OK
,VertexPlus Technologies,info@vertexplus.com,Corporate Office,General,Other,Jaipur; VERIFIED printed on vertexplus.com/contact-us (mailto); MX OK
,VertexPlus Technologies,support@vertexplus.com,Support Desk,Support,Other,Jaipur; VERIFIED printed on vertexplus.com/contact-us (mailto); MX OK
,Apponward Technologies,careers@apponward.com,Careers Desk,Recruitment,Other,SME; VERIFIED printed on apponward.com/contact-us (cf-decoded); MX OK
,Apponward Technologies,career@apponward.com,Career Desk,Recruitment,Other,SME; VERIFIED printed on apponward.com/contact-us (cf-decoded); MX OK
,Apponward Technologies,sales@apponward.com,Sales Team,Sales,Other,SME; VERIFIED printed on apponward.com/contact-us (cf-decoded); MX OK
,HashCodex,hr@hashcodex.com,HR Team,Recruitment,Other,SME; VERIFIED printed on hashcodex.com/contact-us (mailto); MX OK
,HashCodex,sales@hashcodex.com,Sales Team,Sales,Other,SME; VERIFIED printed on hashcodex.com/contact-us (mailto); MX OK
,Codewalla,hello@codewalla.com,Contact Desk,General,Other,Pune SME; VERIFIED printed on codewalla.com/contact; MX OK
,Clustox,hr@clustox.com,HR Team,Recruitment,Other,SME; VERIFIED printed on clustox.com/contact-us; MX OK
,Clustox,sales@clustox.com,Sales Team,Sales,Other,SME; VERIFIED printed on clustox.com/contact-us (mailto); MX OK
,TCG Digital,contact@tcgdigital.com,Contact Desk,General,Other,Kolkata data/AI; VERIFIED printed on tcgdigital.com/contact-us; MX OK
,Letstacle,help@letstacle.com,Help Desk,General,Other,SME; VERIFIED printed on letstacle.com/contact (mailto); MX OK
,C5i,careers@c5i.ai,Careers Desk,Recruitment,Other,Analytics/AI; VERIFIED printed on blueoceanmi.com/contact-us (mailto); MX OK
,C5i,employeerelations.mumbai@c5i.ai,Employee Relations Mumbai,HR,Other,Mumbai; VERIFIED printed on blueoceanmi.com/contact-us (mailto); MX OK
,C5i,megha.chaudhry@c5i.ai,Megha Chaudhry,Global Head - Marketing,Other,VERIFIED printed on blueoceanmi.com/contact-us (mailto); MX OK
,C5i,knowmore@c5i.ai,Know More Desk,General,Other,Analytics/AI; VERIFIED printed on blueoceanmi.com/contact-us (mailto); MX OK
