#,Company,Email,Person,Title,Region,Notes
,InheritX Solutions,contact@inheritx.com,Contact Desk,General,Gandhinagar/Ahmedabad,Ahmedabad software/mobile dev; VERIFIED printed on inheritx.com; MX OK
,Kody Technolab,hiring@kodytechnolab.com,Careers Desk,Recruitment,Gandhinagar/Ahmedabad,Ahmedabad software/app dev; VERIFIED printed on kodytechnolab.com/career; MX OK
,Concetto Labs,career@concettolabs.com,Careers Desk,Recruitment,Gandhinagar/Ahmedabad,Ahmedabad software/web dev; VERIFIED printed on concettolabs.com; MX OK
,Shiv Technolabs,contact@shivlab.com,Contact Desk,General,Gandhinagar/Ahmedabad,Ahmedabad software/web dev; VERIFIED printed on shivlab.com; MX OK
,Weboccult Technologies,career@weboccult.com,Careers Desk,Recruitment,Gandhinagar/Ahmedabad,Ahmedabad AI/software dev; VERIFIED printed on weboccult.com; MX OK
,Techuz InfoWeb,careers@techuz.com,Careers Desk,Recruitment,Gandhinagar/Ahmedabad,Ahmedabad software/web dev; VERIFIED printed on techuz.com/careers; MX OK
,Techuz InfoWeb,hr@techuz.com,HR Desk,Recruitment,Gandhinagar/Ahmedabad,Ahmedabad software/web dev; VERIFIED printed on techuz.com; MX OK
,Prakash Software Solutions,career@prakashinfotech.com,Careers Desk,Recruitment,Gandhinagar/Ahmedabad,Vadodara/Ahmedabad software dev; VERIFIED printed on prakashinfotech.com; MX OK
,Prakash Software Solutions,hr@prakashinfotech.com,HR Desk,Recruitment,Gandhinagar/Ahmedabad,Vadodara/Ahmedabad software dev; VERIFIED printed on prakashinfotech.com; MX OK
,Zealous System,info@zealousys.com,Corporate Office,General,Gandhinagar/Ahmedabad,Ahmedabad software/product dev; VERIFIED printed on zealousys.com; MX OK
,SilverWebBuzz,hr@silverwebbuzz.com,HR Desk,Recruitment,Gandhinagar/Ahmedabad,Ahmedabad web/digital dev; VERIFIED printed on silverwebbuzz.com/career; MX OK
,SilverWebBuzz,info@silverwebbuzz.com,Corporate Office,General,Gandhinagar/Ahmedabad,Ahmedabad web/digital dev; VERIFIED printed on silverwebbuzz.com; MX OK
,Valuebound,hello@valuebound.com,Contact Desk,General,Bangalore,Bengaluru Drupal/software dev; VERIFIED printed on valuebound.com; MX OK
